"movement","habitat_cover","metapop_cap","alpha","mean_dispersal"
"result_final_linear_10",3.68,789.558813834232,0.0912259433247462,10.9617940199336
"result_final_linear_10",16.55,11380.7853472545,0.0925782116707344,10.8016776512882
"result_final_linear_10",10.21,3120.93349534231,0.091858656954618,10.8862902327653
"result_final_linear_10",18.95,12245.0567106451,0.0928833371533349,10.7661937075879
"result_final_linear_10",25.94,27079.3891528342,0.0938989755553302,10.6497434512557
"result_final_linear_10",19.32,10389.5631797577,0.0929321784002949,10.7605354486862
"result_final_linear_10",29.37,54952.7536690384,0.0944807105784151,10.5841710321393
"result_final_linear_10",8.18,1864.19297257304,0.0916513614948495,10.9109126551949
"result_final_linear_10",12.27,3384.79900315905,0.0920798522188169,10.8601390630343
"result_final_linear_10",24.58,26946.159690138,0.0936847858491504,10.6740917528507
"result_final_linear_10",41.33,509025.441773262,0.0971293291834978,10.2955513891256
"result_final_linear_10",10.19,3067.16940214445,0.0918565642515239,10.8865382474112
"result_final_linear_10",12.68,4050.31354041725,0.0921252532072924,10.8547869903802
"result_final_linear_10",10.38,2913.16105725177,0.0918764865086525,10.8841776389199
"result_final_linear_10",7.01,2725.82767209419,0.0915364019372367,10.9246155500591
"result_final_linear_10",0.74,83.2541669781612,0.0909707456558399,10.992544831755
"result_final_linear_10",33.83,177248.845828047,0.0953403262059824,10.4887411213541
"result_final_linear_10",18.98,8670.61715984796,0.0928872787306246,10.7657368550975
"result_final_linear_10",37.76,475486.292595974,0.0962156814246846,10.3933161953728
"result_final_linear_10",9.27,3213.1029415806,0.0917613981148105,10.8978287225835
"result_final_linear_10",42.75,1182237.31900358,0.0975298126064736,10.2532751091703
"result_final_linear_10",21.64,11617.6562485721,0.0932501904036558,10.7238386932108
"result_final_linear_10",10.8,3355.77474856822,0.0919208573784007,10.8789237668161
"result_final_linear_10",33.84,79263.8712499513,0.0953424025824303,10.4885126964933
"result_final_linear_10",12.22,4432.13861075109,0.0920743475706973,10.8607883344725
"result_final_linear_10",27.23,37333.8643101458,0.0941104960943562,10.6258073381888
"result_final_linear_10",21.87,16079.1904369728,0.0932828692869764,10.7200819147575
"result_final_linear_10",27.36,23226.4062560838,0.0941322828115281,10.6233480176211
"result_final_linear_10",20.69,17646.5990773121,0.0931174564410839,10.7391249527172
"result_final_linear_10",1.09,236.705596709261,0.0910002576086557,10.9889798806996
"result_final_linear_10",29.6,45599.6409899042,0.0945220193340494,10.5795454545455
"result_final_linear_10",26.09,42758.8752079137,0.0939231433945001,10.6470031118928
"result_final_linear_10",13.3,4934.61271795289,0.0921948107188431,10.8465974625144
"result_final_linear_10",4.05,839.610949249855,0.0912592733498193,10.9577905158937
"result_final_linear_10",13.53,5844.67204855266,0.0922208950130114,10.8435295478201
"result_final_linear_10",8.85,2612.80049264353,0.0917186556651238,10.9029072956665
"result_final_linear_10",19.81,13512.357171251,0.092997634179153,10.7529617159247
"result_final_linear_10",1.67,273.242391962259,0.091049668506241,10.9830163734364
"result_final_linear_10",28.09,43600.5269856047,0.0942562785088869,10.609372827145
"result_final_linear_10",2.4,647.807117551501,0.0911127707244212,10.9754098360656
"result_final_linear_10",39.01,493440.908944637,0.096521491422422,10.3603869486801
"result_final_linear_10",31.82,74763.3628325387,0.0949370613790799,10.5332942211792
"result_final_linear_10",6.21,1326.84145430056,0.0914596091586379,10.9337882503465
"result_final_linear_10",11.68,3517.93460234628,0.0920153358893149,10.8677536231884
"result_final_linear_10",32.1,135985.781134312,0.0949916060436486,10.5272459499264
"result_final_linear_10",36.58,271213.546447426,0.0959397313324458,10.4232103437402
"result_final_linear_10",37.16,252836.554107055,0.0960738747553816,10.408656906429
"result_final_linear_10",32.21,93478.2566495716,0.0950131748612435,10.5248561734769
"result_final_linear_10",17.67,12208.3168327984,0.0927181404567773,10.7853759261509
"result_final_linear_10",12.37,7639.35778154483,0.0920908823405776,10.8588382973867
"result_final_linear_10",25.92,33854.3353964037,0.0938957615088217,10.6501079913607
"result_final_linear_10",26.73,50568.8718599259,0.0940275139879883,10.6351849324417
"result_final_linear_10",14,5631.33970820942,0.092274678111588,10.8372093023256
"result_final_linear_10",30.37,74434.1445466523,0.0946625700146827,10.5638374263967
"result_final_linear_10",11.77,3385.43488074921,0.0920251157745421,10.8665986625864
"result_final_linear_10",36.28,218012.508136921,0.095871449205585,10.4306340238544
"result_final_linear_10",26.97,32941.8314634051,0.094067185326395,10.6306997124469
"result_final_linear_10",40.4,434670.521035606,0.0968790637191158,10.3221476510067
"result_final_linear_10",8.18,2092.37041118365,0.0916513614948495,10.9109126551949
"result_final_linear_10",29.17,49179.4134922368,0.0944450370686437,10.5881688550049
"result_final_linear_10",2.93,507.491432488655,0.0911592351902633,10.9698155969919
"result_final_linear_10",4.6,810.78655730496,0.0913093415007657,10.9517819706499
"result_final_linear_10",24.96,45917.3460852309,0.0937437537477513,10.6673773987207
"result_final_linear_10",14.16,5715.51457562024,0.0922931360743162,10.8350419384902
"result_final_linear_10",23.45,21738.2367573606,0.0935133154165649,10.6936642717178
"result_final_linear_10",33.04,99002.5855214465,0.0951785308164658,10.5065710872162
"result_final_linear_10",43.53,438052.037306037,0.0977598504258708,10.229148220294
"result_final_linear_10",9.41,2593.5551594614,0.0917757425943186,10.8961254001545
"result_final_linear_10",2.07,330.497137572762,0.0910841177127125,10.9788624527724
"result_final_linear_10",35.25,155507.614853479,0.095642540620384,10.4555984555985
"result_final_linear_10",25.12,22586.1041705236,0.0937687838108595,10.6645299145299
