"movement","habitat_cover","metapop_cap","alpha","mean_dispersal"
"result_final_linear_10",3.43,1.75635371362146e-18,91.2035812776246,0.0109644817231024
"result_final_linear_10",17.58,4.79322427845902e-17,92.7067398542248,0.0107867022567338
"result_final_linear_10",8.41,8.32797073981034e-18,91.6743403931617,0.0109081777486625
"result_final_linear_10",17.46,1.87931439839893e-17,92.6915820680981,0.0107884661982069
"result_final_linear_10",24.75,9.96265501037288e-17,93.7110834371108,0.010671096345515
"result_final_linear_10",19,6.02210194821637e-17,92.8899082568807,0.0107654320987654
"result_final_linear_10",29.99,4.04986225707724e-17,94.5927687402043,0.0105716326239109
"result_final_linear_10",8,5.56542489477942e-19,91.6334661354582,0.0109130434782609
"result_final_linear_10",11.72,3.25338166743515e-18,92.0196797865244,0.010867240598097
"result_final_linear_10",25.55,1.30129173991792e-16,93.8366523821528,0.0106568166554735
"result_final_linear_10",44.85,9.80864104433262e-16,98.1666073335707,0.0101867633726201
"result_final_linear_10",10.62,2.07327596151254e-17,91.901784979847,0.0108811814723652
"result_final_linear_10",13.34,4.53061450616762e-17,92.1993361137118,0.0108460650819294
"result_final_linear_10",10.32,1.33717951916214e-17,91.8701852155384,0.0108849241748439
"result_final_linear_10",6.06,2.16777767960317e-18,91.4453702982634,0.0109354907387694
"result_final_linear_10",0.69,0,90.966548199172,0.0109930520592085
"result_final_linear_10",28.45,2.79301262577071e-17,94.3184814131294,0.0106023759608665
"result_final_linear_10",17.79,1.86712822109296e-17,92.7333844696115,0.0107836029680088
"result_final_linear_10",36.24,1.98405926504767e-16,95.8624007697859,0.0104316185696361
"result_final_linear_10",11.11,2.26945617328603e-17,91.9539040840816,0.0108750140623242
"result_final_linear_10",44.83,4.39669389608162e-16,98.1602732901573,0.0101874206996556
"result_final_linear_10",21.97,3.03799545711946e-17,93.2971447701946,0.010718441625016
"result_final_linear_10",7.72,3.24472447289041e-18,91.6057814485387,0.0109163415691374
"result_final_linear_10",32.57,1.21913646922539e-16,95.0843251170399,0.0105169805724455
"result_final_linear_10",10.69,4.48504659793768e-18,91.9091919482979,0.0108803045571604
