"movement","habitat_cover","metapop_cap","alpha","mean_dispersal"
"result_final_linear_10",3.43,151.869142760682,0.912035812776246,1.09644817231024
"result_final_linear_10",17.58,4226.90788174214,0.927067398542248,1.07867022567338
"result_final_linear_10",8.41,1309.40521522167,0.916743403931617,1.09081777486625
"result_final_linear_10",17.46,3550.44963543159,0.926915820680981,1.07884661982069
"result_final_linear_10",24.75,19525.2561871415,0.937110834371108,1.0671096345515
"result_final_linear_10",19,5825.45678409626,0.928899082568807,1.07654320987654
"result_final_linear_10",29.99,29729.7174591194,0.945927687402043,1.05716326239109
"result_final_linear_10",8,582.810936360103,0.916334661354582,1.09130434782609
"result_final_linear_10",11.72,3316.58751365548,0.920196797865244,1.0867240598097
"result_final_linear_10",25.55,19951.2515671816,0.938366523821528,1.06568166554735
"result_final_linear_10",44.85,1283087.81018507,0.981666073335707,1.01867633726201
"result_final_linear_10",10.62,3432.58885347249,0.91901784979847,1.08811814723652
"result_final_linear_10",13.34,4074.27470899566,0.921993361137118,1.08460650819294
"result_final_linear_10",10.32,754.863028618768,0.918701852155384,1.08849241748439
"result_final_linear_10",6.06,182.600930729592,0.914453702982634,1.09354907387694
"result_final_linear_10",0.69,0.00118744968309221,0.909665481991719,1.09930520592085
"result_final_linear_10",28.45,31014.4629970569,0.943184814131294,1.06023759608665
"result_final_linear_10",17.79,2621.02680253808,0.927333844696115,1.07836029680088
"result_final_linear_10",36.24,99499.9863302709,0.958624007697859,1.04316185696361
"result_final_linear_10",11.11,1339.31515553366,0.919539040840816,1.08750140623242
"result_final_linear_10",44.83,584594.495906069,0.981602732901573,1.01874206996556
"result_final_linear_10",21.97,5283.62617822904,0.932971447701947,1.0718441625016
"result_final_linear_10",7.72,366.586370977303,0.916057814485387,1.09163415691374
"result_final_linear_10",32.57,35413.4573143678,0.950843251170399,1.05169805724455
"result_final_linear_10",10.69,568.155077859887,0.919091919482979,1.08803045571604
"result_final_linear_10",27.67,21755.9869320099,0.941845929475494,1.06174478086548
"result_final_linear_10",23.09,18853.7706972694,0.93459874592913,1.06997789624236
"result_final_linear_10",27.06,17452.7595007914,0.94082138066247,1.06290101453249
"result_final_linear_10",19.35,6350.10209948514,0.929361604056234,1.07600743955363
"result_final_linear_10",0.96,32.9677467716228,0.90989269439953,1.09903069466882
"result_final_linear_10",30.4,13075.1224816573,0.946681175190424,1.05632183908046
"result_final_linear_10",24.87,19306.9745127274,0.93729727032287,1.06689737787834
"result_final_linear_10",13.44,1844.70642792784,0.922106698483041,1.08447319778189
"result_final_linear_10",3.65,363.966460751542,0.912232531717478,1.09621172807473
"result_final_linear_10",13.85,1699.06262135445,0.922574427072178,1.08392338943703
"result_final_linear_10",9.04,527.218212209467,0.91737937711796,1.09006156552331
"result_final_linear_10",20.02,13974.4335323222,0.930259607332279,1.07496874218555
"result_final_linear_10",1.67,174.444997066001,0.91049668506241,1.09830163734364
"result_final_linear_10",26.27,21219.9561623246,0.939522911463377,1.0643699986437
"result_final_linear_10",2.61,41.8744169477244,0.91131115020399,1.09732005339357
"result_final_linear_10",38.82,271231.719201001,0.964740759429797,1.0365478914678
"result_final_linear_10",30.44,31778.4301296698,0.946755226480836,1.05623921794135
"result_final_linear_10",4.35,458.222061933678,0.912865050582172,1.09545216936749
"result_final_linear_10",11.34,1755.60313937339,0.919785874346419,1.08720956462892
"result_final_linear_10",29.31,43328.9312779169,0.944699844977816,1.05853727542792
"result_final_linear_10",32.83,88138.4601446331,0.951362529035182,1.05112401369659
"result_final_linear_10",35.71,68352.5764748974,0.957437302674689,1.0444548141235
"result_final_linear_10",33.98,66875.5110160745,0.953715474401941,1.0485307482581
"result_final_linear_10",17.63,3481.04332766675,0.927130701004007,1.07859657642346
"result_final_linear_10",15.89,3686.78353165188,0.924976905819733,1.08110807276186
"result_final_linear_10",24.69,6275.59343502133,0.937017866918827,1.06721550922852
"result_final_linear_10",26.53,30016.2590299838,0.939946778568139,1.0638900231387
"result_final_linear_10",11.97,641.752421647516,0.920469279350872,1.08640236283085
"result_final_linear_10",29.59,16916.3574774155,0.945202169360468,1.05797471950007
"result_final_linear_10",14.78,3464.20846371105,0.923653862828406,1.08265665336775
"result_final_linear_10",36.66,214359.744501606,0.959580656890074,1.04212188190717
"result_final_linear_10",24.86,15536.2980339912,0.937281708412334,1.06691509182859
"result_final_linear_10",38.1,89017.5725669926,0.962974486621033,1.03844911147011
"result_final_linear_10",7.97,1153.47125684085,0.916304910589828,1.09133978050636
"result_final_linear_10",29.36,10545.1768124622,0.944789214637278,1.05843714609287
"result_final_linear_10",2.38,73.9497073084172,0.911110281490331,1.09756197500512
"result_final_linear_10",4.47,199.85736493682,0.912974502083413,1.09532084162043
"result_final_linear_10",23.83,8821.22459266021,0.935703405238072,1.06871471708022
"result_final_linear_10",12.32,637.318595386329,0.920853638044026,1.08594890510949
"result_final_linear_10",21.19,14431.2788145003,0.931868703589841,1.07311254916889
"result_final_linear_10",30.36,51271.9178102207,0.946607220530665,1.0564043653073
"result_final_linear_10",41.31,320391.459053568,0.971238498709208,1.02961322201397
"result_final_linear_10",9.58,808.544297469533,0.917932266709981,1.08940499889405
"result_final_linear_10",3.06,49.6655943894028,0.911707170265593,1.09684340829379
"result_final_linear_10",31.93,36989.7696862571,0.94958428659115,1.05309240487733
"result_final_linear_10",22.57,21876.2414944571,0.933836653963047,1.07085109130828
"result_final_linear_10",17.88,6377.30548309534,0.927448500180701,1.07822698490015
"result_final_linear_10",22.82,6367.57521639427,0.934201607436816,1.07043275459964
