"movement","habitat_cover","metapop_cap","alpha","mean_dispersal"
"result_final_linear_10",3.43,903.607944408015,0.182407162555249,5.48224086155121
"result_final_linear_10",17.58,11471.9461115386,0.18541347970845,5.39335112836689
"result_final_linear_10",8.41,3333.16349622028,0.183348680786323,5.45408887433127
"result_final_linear_10",17.46,15378.4861156084,0.185383164136196,5.39423309910347
"result_final_linear_10",24.75,53706.6080448153,0.187422166874222,5.33554817275747
"result_final_linear_10",19,18829.6198577097,0.185779816513761,5.38271604938273
"result_final_linear_10",29.99,149819.935778727,0.189185537480409,5.28581631195542
"result_final_linear_10",8,1636.47263081919,0.183266932270916,5.45652173913044
"result_final_linear_10",11.72,9818.72433490897,0.184039359573049,5.43362029904847
"result_final_linear_10",25.55,51828.4935351181,0.187673304764306,5.32840832773672
"result_final_linear_10",44.85,2018530.77183764,0.196333214667141,5.09338168631007
"result_final_linear_10",10.62,9964.99552858073,0.183803569959694,5.44059073618259
"result_final_linear_10",13.34,10676.0205169544,0.184398672227424,5.42303254096468
"result_final_linear_10",10.32,5135.17748799313,0.183740370431077,5.44246208742194
"result_final_linear_10",6.06,1381.33858764538,0.182890740596527,5.46774536938471
"result_final_linear_10",0.69,7.94396970540939,0.181933096398344,5.49652602960427
"result_final_linear_10",28.45,68291.7022212996,0.188636962826259,5.30118798043326
"result_final_linear_10",17.79,8943.46772830027,0.185466768939223,5.39180148400438
"result_final_linear_10",36.24,230263.375664371,0.191724801539572,5.21580928481806
"result_final_linear_10",11.11,10682.9501259622,0.183907808168163,5.43750703116212
"result_final_linear_10",44.83,947830.257068556,0.196320546580315,5.09371034982779
"result_final_linear_10",21.97,21206.1994422908,0.186594289540389,5.35922081250802
"result_final_linear_10",7.72,1873.78602311415,0.183211562897077,5.45817078456872
"result_final_linear_10",32.57,95276.7049126638,0.19016865023408,5.25849028622274
"result_final_linear_10",10.69,3395.45793350746,0.183818383896596,5.44015227858022
"result_final_linear_10",27.67,74012.5137852962,0.188369185895099,5.30872390432738
"result_final_linear_10",23.09,42159.3339023465,0.186919749185826,5.34988948121181
"result_final_linear_10",27.06,81328.5713875565,0.188164276132494,5.31450507266246
"result_final_linear_10",19.35,18840.178859709,0.185872320811247,5.38003719776813
"result_final_linear_10",0.96,145.338698086281,0.181978538879906,5.4951534733441
"result_final_linear_10",30.4,63104.1128279192,0.189336235038085,5.2816091954023
"result_final_linear_10",24.87,48437.0114580491,0.187459454064574,5.33448688939172
"result_final_linear_10",13.44,6671.12480787736,0.184421339696608,5.42236598890943
"result_final_linear_10",3.65,1424.43882637296,0.182446506343496,5.48105864037362
"result_final_linear_10",13.85,8228.07602173001,0.184514885414436,5.41961694718513
"result_final_linear_10",9.04,2772.4413401663,0.183475875423592,5.45030782761654
"result_final_linear_10",20.02,41937.288914986,0.186051921466456,5.37484371092772
"result_final_linear_10",1.67,556.210061998447,0.182099337012482,5.49150818671819
"result_final_linear_10",26.27,61510.7710004091,0.187904582292675,5.32184999321851
"result_final_linear_10",2.61,258.322322925011,0.182262230040798,5.48660026696786
"result_final_linear_10",38.82,555388.598678051,0.192948151885959,5.18273945733901
"result_final_linear_10",30.44,97566.4660282276,0.189351045296167,5.28119608970673
"result_final_linear_10",4.35,1838.99755982705,0.182573010116434,5.47726084683744
"result_final_linear_10",11.34,8720.66602484241,0.183957174869284,5.43604782314459
"result_final_linear_10",29.31,80377.8197702397,0.188939968995563,5.29268637713963
"result_final_linear_10",32.83,178677.60677846,0.190272505807036,5.25562006848297
"result_final_linear_10",35.71,243507.150634086,0.191487460534938,5.22227407061751
"result_final_linear_10",33.98,177707.052605976,0.190743094880388,5.24265374129053
"result_final_linear_10",17.63,18291.5931490316,0.185426140200801,5.39298288211729
"result_final_linear_10",15.89,12016.8663464085,0.184995381163947,5.40554036380929
"result_final_linear_10",24.69,26865.6568421625,0.187403573383766,5.3360775461426
"result_final_linear_10",26.53,57077.1830492105,0.187989355713628,5.31945011569347
"result_final_linear_10",11.97,4879.86596879535,0.184093855870174,5.43201181415428
"result_final_linear_10",29.59,61137.7013343577,0.189040433872094,5.28987359750035
"result_final_linear_10",14.78,11409.6711744557,0.184730772565681,5.41328326683877
"result_final_linear_10",36.66,376973.513618823,0.191916131378015,5.21060940953583
"result_final_linear_10",24.86,47168.1898131055,0.187456341682467,5.33457545914293
"result_final_linear_10",38.1,257668.132816177,0.192594897324207,5.19224555735055
"result_final_linear_10",7.97,2689.07540434926,0.183260982117966,5.45669890253177
"result_final_linear_10",29.36,61246.8652930896,0.188957842927456,5.29218573046432
"result_final_linear_10",2.38,262.123892597275,0.182222056298066,5.48780987502561
"result_final_linear_10",4.47,746.27749568633,0.182594900416683,5.47660420810216
"result_final_linear_10",23.83,32688.7951043264,0.187140681047614,5.34357358540109
"result_final_linear_10",12.32,5231.6753279954,0.184170727608805,5.42974452554745
"result_final_linear_10",21.19,41663.6609426776,0.186373740717968,5.36556274584444
"result_final_linear_10",30.36,109930.544021555,0.189321444106133,5.28202182653648
"result_final_linear_10",41.31,770012.23803755,0.194247699741842,5.14806611006985
"result_final_linear_10",9.58,3997.15563075041,0.183586453341996,5.44702499447026
"result_final_linear_10",3.06,392.526907251213,0.182341434053119,5.48421704146894
"result_final_linear_10",31.93,114962.649458225,0.18991685731823,5.26546202438666
"result_final_linear_10",22.57,67447.5693479178,0.186767330792609,5.3542554565414
"result_final_linear_10",17.88,14007.5951939095,0.18548970003614,5.39113492450074
"result_final_linear_10",22.82,19305.2172112197,0.186840321487363,5.35216377299819
