"","config_id","replicate","layer","x","y","patch","landscape_config"
"1...1","1","1","0",0.5,99.5,NA,0.01
"2...2","1","1","0",1.5,99.5,NA,0.01
"3...3","1","1","0",2.5,99.5,NA,0.01
"4...4","1","1","0",3.5,99.5,NA,0.01
"5...5","1","1","0",4.5,99.5,NA,0.01
"6...6","1","1","0",5.5,99.5,NA,0.01
"7...7","1","1","0",6.5,99.5,NA,0.01
"8...8","1","1","0",7.5,99.5,NA,0.01
"9...9","1","1","0",8.5,99.5,NA,0.01
"10...10","1","1","0",9.5,99.5,NA,0.01
"11...11","1","1","0",10.5,99.5,NA,0.01
"12...12","1","1","0",11.5,99.5,NA,0.01
"13...13","1","1","0",12.5,99.5,NA,0.01
"14...14","1","1","0",13.5,99.5,NA,0.01
"15...15","1","1","1",14.5,99.5,1,0.01
"16...16","1","1","0",15.5,99.5,NA,0.01
"17...17","1","1","0",16.5,99.5,NA,0.01
"18...18","1","1","0",17.5,99.5,NA,0.01
"19...19","1","1","1",18.5,99.5,2,0.01
"20...20","1","1","1",19.5,99.5,2,0.01
"21...21","1","1","0",20.5,99.5,NA,0.01
"22...22","1","1","0",21.5,99.5,NA,0.01
"23...23","1","1","0",22.5,99.5,NA,0.01
"24...24","1","1","0",23.5,99.5,NA,0.01
"25...25","1","1","1",24.5,99.5,3,0.01
"26...26","1","1","0",25.5,99.5,NA,0.01
"27...27","1","1","1",26.5,99.5,4,0.01
"28...28","1","1","0",27.5,99.5,NA,0.01
"29...29","1","1","0",28.5,99.5,NA,0.01
"30...30","1","1","0",29.5,99.5,NA,0.01
"31...31","1","1","0",30.5,99.5,NA,0.01
"32...32","1","1","0",31.5,99.5,NA,0.01
"33...33","1","1","0",32.5,99.5,NA,0.01
"34...34","1","1","1",33.5,99.5,5,0.01
"35...35","1","1","0",34.5,99.5,NA,0.01
"36...36","1","1","0",35.5,99.5,NA,0.01
"37...37","1","1","0",36.5,99.5,NA,0.01
"38...38","1","1","0",37.5,99.5,NA,0.01
"39...39","1","1","0",38.5,99.5,NA,0.01
"40...40","1","1","0",39.5,99.5,NA,0.01
"41...41","1","1","1",40.5,99.5,6,0.01
"42...42","1","1","0",41.5,99.5,NA,0.01
"43...43","1","1","0",42.5,99.5,NA,0.01
"44...44","1","1","1",43.5,99.5,7,0.01
"45...45","1","1","0",44.5,99.5,NA,0.01
"46...46","1","1","1",45.5,99.5,8,0.01
"47...47","1","1","0",46.5,99.5,NA,0.01
"48...48","1","1","0",47.5,99.5,NA,0.01
"49...49","1","1","0",48.5,99.5,NA,0.01
"50...50","1","1","0",49.5,99.5,NA,0.01
"51...51","1","1","0",50.5,99.5,NA,0.01
"52...52","1","1","0",51.5,99.5,NA,0.01
"53...53","1","1","0",52.5,99.5,NA,0.01
"54...54","1","1","0",53.5,99.5,NA,0.01
"55...55","1","1","0",54.5,99.5,NA,0.01
"56...56","1","1","0",55.5,99.5,NA,0.01
"57...57","1","1","0",56.5,99.5,NA,0.01
"58...58","1","1","0",57.5,99.5,NA,0.01
"59...59","1","1","0",58.5,99.5,NA,0.01
"60...60","1","1","0",59.5,99.5,NA,0.01
"61...61","1","1","0",60.5,99.5,NA,0.01
"62...62","1","1","1",61.5,99.5,9,0.01
"63...63","1","1","1",62.5,99.5,9,0.01
"64...64","1","1","0",63.5,99.5,NA,0.01
"65...65","1","1","0",64.5,99.5,NA,0.01
"66...66","1","1","0",65.5,99.5,NA,0.01
"67...67","1","1","0",66.5,99.5,NA,0.01
"68...68","1","1","0",67.5,99.5,NA,0.01
"69...69","1","1","0",68.5,99.5,NA,0.01
"70...70","1","1","0",69.5,99.5,NA,0.01
"71...71","1","1","0",70.5,99.5,NA,0.01
"72...72","1","1","0",71.5,99.5,NA,0.01
"73...73","1","1","0",72.5,99.5,NA,0.01
"74...74","1","1","0",73.5,99.5,NA,0.01
"75...75","1","1","0",74.5,99.5,NA,0.01
"76...76","1","1","0",75.5,99.5,NA,0.01
"77...77","1","1","0",76.5,99.5,NA,0.01
"78...78","1","1","0",77.5,99.5,NA,0.01
"79...79","1","1","0",78.5,99.5,NA,0.01
"80...80","1","1","0",79.5,99.5,NA,0.01
"81...81","1","1","0",80.5,99.5,NA,0.01
"82...82","1","1","0",81.5,99.5,NA,0.01
"83...83","1","1","0",82.5,99.5,NA,0.01
"84...84","1","1","1",83.5,99.5,10,0.01
"85...85","1","1","0",84.5,99.5,NA,0.01
"86...86","1","1","0",85.5,99.5,NA,0.01
"87...87","1","1","0",86.5,99.5,NA,0.01
"88...88","1","1","0",87.5,99.5,NA,0.01
"89...89","1","1","0",88.5,99.5,NA,0.01
"90...90","1","1","0",89.5,99.5,NA,0.01
"91...91","1","1","0",90.5,99.5,NA,0.01
"92...92","1","1","0",91.5,99.5,NA,0.01
"93...93","1","1","1",92.5,99.5,11,0.01
"94...94","1","1","0",93.5,99.5,NA,0.01
"95...95","1","1","0",94.5,99.5,NA,0.01
"96...96","1","1","0",95.5,99.5,NA,0.01
"97...97","1","1","0",96.5,99.5,NA,0.01
"98...98","1","1","0",97.5,99.5,NA,0.01
"99...99","1","1","0",98.5,99.5,NA,0.01
"100...100","1","1","0",99.5,99.5,NA,0.01
"101...101","1","1","0",0.5,98.5,NA,0.01
"102...102","1","1","0",1.5,98.5,NA,0.01
"103...103","1","1","0",2.5,98.5,NA,0.01
"104...104","1","1","0",3.5,98.5,NA,0.01
"105...105","1","1","0",4.5,98.5,NA,0.01
"106...106","1","1","0",5.5,98.5,NA,0.01
"107...107","1","1","0",6.5,98.5,NA,0.01
"108...108","1","1","0",7.5,98.5,NA,0.01
"109...109","1","1","1",8.5,98.5,12,0.01
"110...110","1","1","0",9.5,98.5,NA,0.01
"111...111","1","1","0",10.5,98.5,NA,0.01
"112...112","1","1","0",11.5,98.5,NA,0.01
"113...113","1","1","0",12.5,98.5,NA,0.01
"114...114","1","1","0",13.5,98.5,NA,0.01
"115...115","1","1","0",14.5,98.5,NA,0.01
"116...116","1","1","0",15.5,98.5,NA,0.01
"117...117","1","1","0",16.5,98.5,NA,0.01
"118...118","1","1","0",17.5,98.5,NA,0.01
"119...119","1","1","0",18.5,98.5,NA,0.01
"120...120","1","1","0",19.5,98.5,NA,0.01
"121...121","1","1","0",20.5,98.5,NA,0.01
"122...122","1","1","0",21.5,98.5,NA,0.01
"123...123","1","1","0",22.5,98.5,NA,0.01
"124...124","1","1","1",23.5,98.5,3,0.01
"125...125","1","1","0",24.5,98.5,NA,0.01
"126...126","1","1","0",25.5,98.5,NA,0.01
"127...127","1","1","0",26.5,98.5,NA,0.01
"128...128","1","1","0",27.5,98.5,NA,0.01
"129...129","1","1","0",28.5,98.5,NA,0.01
"130...130","1","1","0",29.5,98.5,NA,0.01
"131...131","1","1","0",30.5,98.5,NA,0.01
"132...132","1","1","0",31.5,98.5,NA,0.01
"133...133","1","1","0",32.5,98.5,NA,0.01
"134...134","1","1","0",33.5,98.5,NA,0.01
"135...135","1","1","1",34.5,98.5,5,0.01
"136...136","1","1","0",35.5,98.5,NA,0.01
"137...137","1","1","0",36.5,98.5,NA,0.01
"138...138","1","1","0",37.5,98.5,NA,0.01
"139...139","1","1","0",38.5,98.5,NA,0.01
"140...140","1","1","0",39.5,98.5,NA,0.01
"141...141","1","1","0",40.5,98.5,NA,0.01
"142...142","1","1","0",41.5,98.5,NA,0.01
"143...143","1","1","0",42.5,98.5,NA,0.01
"144...144","1","1","0",43.5,98.5,NA,0.01
"145...145","1","1","0",44.5,98.5,NA,0.01
"146...146","1","1","0",45.5,98.5,NA,0.01
"147...147","1","1","1",46.5,98.5,8,0.01
"148...148","1","1","0",47.5,98.5,NA,0.01
"149...149","1","1","0",48.5,98.5,NA,0.01
"150...150","1","1","0",49.5,98.5,NA,0.01
"151...151","1","1","0",50.5,98.5,NA,0.01
"152...152","1","1","0",51.5,98.5,NA,0.01
"153...153","1","1","0",52.5,98.5,NA,0.01
"154...154","1","1","0",53.5,98.5,NA,0.01
"155...155","1","1","0",54.5,98.5,NA,0.01
"156...156","1","1","0",55.5,98.5,NA,0.01
"157...157","1","1","0",56.5,98.5,NA,0.01
"158...158","1","1","0",57.5,98.5,NA,0.01
"159...159","1","1","0",58.5,98.5,NA,0.01
"160...160","1","1","0",59.5,98.5,NA,0.01
"161...161","1","1","0",60.5,98.5,NA,0.01
"162...162","1","1","1",61.5,98.5,9,0.01
"163...163","1","1","0",62.5,98.5,NA,0.01
"164...164","1","1","0",63.5,98.5,NA,0.01
"165...165","1","1","0",64.5,98.5,NA,0.01
"166...166","1","1","0",65.5,98.5,NA,0.01
"167...167","1","1","0",66.5,98.5,NA,0.01
"168...168","1","1","0",67.5,98.5,NA,0.01
"169...169","1","1","0",68.5,98.5,NA,0.01
"170...170","1","1","0",69.5,98.5,NA,0.01
"171...171","1","1","0",70.5,98.5,NA,0.01
"172...172","1","1","0",71.5,98.5,NA,0.01
"173...173","1","1","0",72.5,98.5,NA,0.01
"174...174","1","1","0",73.5,98.5,NA,0.01
"175...175","1","1","0",74.5,98.5,NA,0.01
"176...176","1","1","0",75.5,98.5,NA,0.01
"177...177","1","1","0",76.5,98.5,NA,0.01
"178...178","1","1","0",77.5,98.5,NA,0.01
"179...179","1","1","0",78.5,98.5,NA,0.01
"180...180","1","1","0",79.5,98.5,NA,0.01
"181...181","1","1","1",80.5,98.5,10,0.01
"182...182","1","1","1",81.5,98.5,10,0.01
"183...183","1","1","1",82.5,98.5,10,0.01
"184...184","1","1","0",83.5,98.5,NA,0.01
"185...185","1","1","0",84.5,98.5,NA,0.01
"186...186","1","1","0",85.5,98.5,NA,0.01
"187...187","1","1","0",86.5,98.5,NA,0.01
"188...188","1","1","0",87.5,98.5,NA,0.01
"189...189","1","1","0",88.5,98.5,NA,0.01
"190...190","1","1","1",89.5,98.5,13,0.01
"191...191","1","1","1",90.5,98.5,13,0.01
"192...192","1","1","0",91.5,98.5,NA,0.01
"193...193","1","1","0",92.5,98.5,NA,0.01
"194...194","1","1","0",93.5,98.5,NA,0.01
"195...195","1","1","0",94.5,98.5,NA,0.01
"196...196","1","1","0",95.5,98.5,NA,0.01
"197...197","1","1","1",96.5,98.5,14,0.01
"198...198","1","1","0",97.5,98.5,NA,0.01
"199...199","1","1","0",98.5,98.5,NA,0.01
"200...200","1","1","0",99.5,98.5,NA,0.01
"201...201","1","1","1",0.5,97.5,15,0.01
"202...202","1","1","0",1.5,97.5,NA,0.01
"203...203","1","1","0",2.5,97.5,NA,0.01
"204...204","1","1","0",3.5,97.5,NA,0.01
"205...205","1","1","0",4.5,97.5,NA,0.01
"206...206","1","1","0",5.5,97.5,NA,0.01
"207...207","1","1","0",6.5,97.5,NA,0.01
"208...208","1","1","0",7.5,97.5,NA,0.01
"209...209","1","1","0",8.5,97.5,NA,0.01
"210...210","1","1","0",9.5,97.5,NA,0.01
"211...211","1","1","0",10.5,97.5,NA,0.01
"212...212","1","1","0",11.5,97.5,NA,0.01
"213...213","1","1","0",12.5,97.5,NA,0.01
"214...214","1","1","0",13.5,97.5,NA,0.01
"215...215","1","1","0",14.5,97.5,NA,0.01
"216...216","1","1","1",15.5,97.5,16,0.01
"217...217","1","1","0",16.5,97.5,NA,0.01
"218...218","1","1","0",17.5,97.5,NA,0.01
"219...219","1","1","0",18.5,97.5,NA,0.01
"220...220","1","1","0",19.5,97.5,NA,0.01
"221...221","1","1","0",20.5,97.5,NA,0.01
"222...222","1","1","0",21.5,97.5,NA,0.01
"223...223","1","1","0",22.5,97.5,NA,0.01
"224...224","1","1","0",23.5,97.5,NA,0.01
"225...225","1","1","0",24.5,97.5,NA,0.01
"226...226","1","1","1",25.5,97.5,17,0.01
"227...227","1","1","1",26.5,97.5,17,0.01
"228...228","1","1","0",27.5,97.5,NA,0.01
"229...229","1","1","0",28.5,97.5,NA,0.01
"230...230","1","1","0",29.5,97.5,NA,0.01
"231...231","1","1","0",30.5,97.5,NA,0.01
"232...232","1","1","0",31.5,97.5,NA,0.01
"233...233","1","1","0",32.5,97.5,NA,0.01
"234...234","1","1","0",33.5,97.5,NA,0.01
"235...235","1","1","1",34.5,97.5,5,0.01
"236...236","1","1","0",35.5,97.5,NA,0.01
"237...237","1","1","1",36.5,97.5,18,0.01
"238...238","1","1","0",37.5,97.5,NA,0.01
"239...239","1","1","0",38.5,97.5,NA,0.01
"240...240","1","1","1",39.5,97.5,19,0.01
"241...241","1","1","0",40.5,97.5,NA,0.01
"242...242","1","1","0",41.5,97.5,NA,0.01
"243...243","1","1","1",42.5,97.5,20,0.01
"244...244","1","1","0",43.5,97.5,NA,0.01
"245...245","1","1","0",44.5,97.5,NA,0.01
"246...246","1","1","0",45.5,97.5,NA,0.01
"247...247","1","1","0",46.5,97.5,NA,0.01
"248...248","1","1","0",47.5,97.5,NA,0.01
"249...249","1","1","1",48.5,97.5,21,0.01
"250...250","1","1","1",49.5,97.5,21,0.01
"251...251","1","1","0",50.5,97.5,NA,0.01
"252...252","1","1","0",51.5,97.5,NA,0.01
"253...253","1","1","0",52.5,97.5,NA,0.01
"254...254","1","1","1",53.5,97.5,22,0.01
"255...255","1","1","0",54.5,97.5,NA,0.01
"256...256","1","1","0",55.5,97.5,NA,0.01
"257...257","1","1","0",56.5,97.5,NA,0.01
"258...258","1","1","0",57.5,97.5,NA,0.01
"259...259","1","1","1",58.5,97.5,23,0.01
"260...260","1","1","0",59.5,97.5,NA,0.01
"261...261","1","1","0",60.5,97.5,NA,0.01
"262...262","1","1","0",61.5,97.5,NA,0.01
"263...263","1","1","0",62.5,97.5,NA,0.01
"264...264","1","1","1",63.5,97.5,24,0.01
"265...265","1","1","0",64.5,97.5,NA,0.01
"266...266","1","1","0",65.5,97.5,NA,0.01
"267...267","1","1","1",66.5,97.5,25,0.01
"268...268","1","1","0",67.5,97.5,NA,0.01
"269...269","1","1","0",68.5,97.5,NA,0.01
"270...270","1","1","0",69.5,97.5,NA,0.01
"271...271","1","1","0",70.5,97.5,NA,0.01
"272...272","1","1","0",71.5,97.5,NA,0.01
"273...273","1","1","0",72.5,97.5,NA,0.01
"274...274","1","1","0",73.5,97.5,NA,0.01
"275...275","1","1","0",74.5,97.5,NA,0.01
"276...276","1","1","0",75.5,97.5,NA,0.01
"277...277","1","1","0",76.5,97.5,NA,0.01
"278...278","1","1","0",77.5,97.5,NA,0.01
"279...279","1","1","0",78.5,97.5,NA,0.01
"280...280","1","1","0",79.5,97.5,NA,0.01
"281...281","1","1","1",80.5,97.5,10,0.01
"282...282","1","1","1",81.5,97.5,10,0.01
"283...283","1","1","1",82.5,97.5,10,0.01
"284...284","1","1","0",83.5,97.5,NA,0.01
"285...285","1","1","1",84.5,97.5,26,0.01
"286...286","1","1","0",85.5,97.5,NA,0.01
"287...287","1","1","0",86.5,97.5,NA,0.01
"288...288","1","1","0",87.5,97.5,NA,0.01
"289...289","1","1","0",88.5,97.5,NA,0.01
"290...290","1","1","0",89.5,97.5,NA,0.01
"291...291","1","1","0",90.5,97.5,NA,0.01
"292...292","1","1","0",91.5,97.5,NA,0.01
"293...293","1","1","0",92.5,97.5,NA,0.01
"294...294","1","1","0",93.5,97.5,NA,0.01
"295...295","1","1","0",94.5,97.5,NA,0.01
"296...296","1","1","0",95.5,97.5,NA,0.01
"297...297","1","1","0",96.5,97.5,NA,0.01
"298...298","1","1","0",97.5,97.5,NA,0.01
"299...299","1","1","0",98.5,97.5,NA,0.01
"300...300","1","1","0",99.5,97.5,NA,0.01
"301...301","1","1","0",0.5,96.5,NA,0.01
"302...302","1","1","0",1.5,96.5,NA,0.01
"303...303","1","1","1",2.5,96.5,27,0.01
"304...304","1","1","0",3.5,96.5,NA,0.01
"305...305","1","1","0",4.5,96.5,NA,0.01
"306...306","1","1","0",5.5,96.5,NA,0.01
"307...307","1","1","0",6.5,96.5,NA,0.01
"308...308","1","1","0",7.5,96.5,NA,0.01
"309...309","1","1","0",8.5,96.5,NA,0.01
"310...310","1","1","0",9.5,96.5,NA,0.01
"311...311","1","1","0",10.5,96.5,NA,0.01
"312...312","1","1","0",11.5,96.5,NA,0.01
"313...313","1","1","0",12.5,96.5,NA,0.01
"314...314","1","1","1",13.5,96.5,16,0.01
"315...315","1","1","1",14.5,96.5,16,0.01
"316...316","1","1","0",15.5,96.5,NA,0.01
"317...317","1","1","0",16.5,96.5,NA,0.01
"318...318","1","1","1",17.5,96.5,28,0.01
"319...319","1","1","0",18.5,96.5,NA,0.01
"320...320","1","1","0",19.5,96.5,NA,0.01
"321...321","1","1","0",20.5,96.5,NA,0.01
"322...322","1","1","0",21.5,96.5,NA,0.01
"323...323","1","1","0",22.5,96.5,NA,0.01
"324...324","1","1","0",23.5,96.5,NA,0.01
"325...325","1","1","1",24.5,96.5,17,0.01
"326...326","1","1","0",25.5,96.5,NA,0.01
"327...327","1","1","0",26.5,96.5,NA,0.01
"328...328","1","1","1",27.5,96.5,17,0.01
"329...329","1","1","0",28.5,96.5,NA,0.01
"330...330","1","1","0",29.5,96.5,NA,0.01
"331...331","1","1","1",30.5,96.5,29,0.01
"332...332","1","1","0",31.5,96.5,NA,0.01
"333...333","1","1","0",32.5,96.5,NA,0.01
"334...334","1","1","0",33.5,96.5,NA,0.01
"335...335","1","1","0",34.5,96.5,NA,0.01
"336...336","1","1","0",35.5,96.5,NA,0.01
"337...337","1","1","0",36.5,96.5,NA,0.01
"338...338","1","1","0",37.5,96.5,NA,0.01
"339...339","1","1","0",38.5,96.5,NA,0.01
"340...340","1","1","0",39.5,96.5,NA,0.01
"341...341","1","1","1",40.5,96.5,19,0.01
"342...342","1","1","0",41.5,96.5,NA,0.01
"343...343","1","1","0",42.5,96.5,NA,0.01
"344...344","1","1","0",43.5,96.5,NA,0.01
"345...345","1","1","0",44.5,96.5,NA,0.01
"346...346","1","1","0",45.5,96.5,NA,0.01
"347...347","1","1","0",46.5,96.5,NA,0.01
"348...348","1","1","0",47.5,96.5,NA,0.01
"349...349","1","1","1",48.5,96.5,21,0.01
"350...350","1","1","0",49.5,96.5,NA,0.01
"351...351","1","1","0",50.5,96.5,NA,0.01
"352...352","1","1","1",51.5,96.5,30,0.01
"353...353","1","1","0",52.5,96.5,NA,0.01
"354...354","1","1","0",53.5,96.5,NA,0.01
"355...355","1","1","0",54.5,96.5,NA,0.01
"356...356","1","1","0",55.5,96.5,NA,0.01
"357...357","1","1","0",56.5,96.5,NA,0.01
"358...358","1","1","0",57.5,96.5,NA,0.01
"359...359","1","1","0",58.5,96.5,NA,0.01
"360...360","1","1","0",59.5,96.5,NA,0.01
"361...361","1","1","0",60.5,96.5,NA,0.01
"362...362","1","1","0",61.5,96.5,NA,0.01
"363...363","1","1","0",62.5,96.5,NA,0.01
"364...364","1","1","0",63.5,96.5,NA,0.01
"365...365","1","1","1",64.5,96.5,24,0.01
"366...366","1","1","0",65.5,96.5,NA,0.01
"367...367","1","1","0",66.5,96.5,NA,0.01
"368...368","1","1","0",67.5,96.5,NA,0.01
"369...369","1","1","0",68.5,96.5,NA,0.01
"370...370","1","1","0",69.5,96.5,NA,0.01
"371...371","1","1","0",70.5,96.5,NA,0.01
"372...372","1","1","0",71.5,96.5,NA,0.01
"373...373","1","1","0",72.5,96.5,NA,0.01
"374...374","1","1","0",73.5,96.5,NA,0.01
"375...375","1","1","0",74.5,96.5,NA,0.01
"376...376","1","1","1",75.5,96.5,31,0.01
"377...377","1","1","1",76.5,96.5,31,0.01
"378...378","1","1","0",77.5,96.5,NA,0.01
"379...379","1","1","0",78.5,96.5,NA,0.01
"380...380","1","1","0",79.5,96.5,NA,0.01
"381...381","1","1","1",80.5,96.5,10,0.01
"382...382","1","1","1",81.5,96.5,10,0.01
"383...383","1","1","1",82.5,96.5,10,0.01
"384...384","1","1","0",83.5,96.5,NA,0.01
"385...385","1","1","0",84.5,96.5,NA,0.01
"386...386","1","1","0",85.5,96.5,NA,0.01
"387...387","1","1","0",86.5,96.5,NA,0.01
"388...388","1","1","0",87.5,96.5,NA,0.01
"389...389","1","1","0",88.5,96.5,NA,0.01
"390...390","1","1","0",89.5,96.5,NA,0.01
"391...391","1","1","0",90.5,96.5,NA,0.01
"392...392","1","1","0",91.5,96.5,NA,0.01
"393...393","1","1","0",92.5,96.5,NA,0.01
"394...394","1","1","1",93.5,96.5,32,0.01
"395...395","1","1","0",94.5,96.5,NA,0.01
"396...396","1","1","0",95.5,96.5,NA,0.01
"397...397","1","1","0",96.5,96.5,NA,0.01
"398...398","1","1","0",97.5,96.5,NA,0.01
"399...399","1","1","0",98.5,96.5,NA,0.01
"400...400","1","1","0",99.5,96.5,NA,0.01
"401...401","1","1","0",0.5,95.5,NA,0.01
"402...402","1","1","0",1.5,95.5,NA,0.01
"403...403","1","1","0",2.5,95.5,NA,0.01
"404...404","1","1","0",3.5,95.5,NA,0.01
"405...405","1","1","0",4.5,95.5,NA,0.01
"406...406","1","1","0",5.5,95.5,NA,0.01
"407...407","1","1","0",6.5,95.5,NA,0.01
"408...408","1","1","0",7.5,95.5,NA,0.01
"409...409","1","1","0",8.5,95.5,NA,0.01
"410...410","1","1","0",9.5,95.5,NA,0.01
"411...411","1","1","1",10.5,95.5,33,0.01
"412...412","1","1","0",11.5,95.5,NA,0.01
"413...413","1","1","0",12.5,95.5,NA,0.01
"414...414","1","1","0",13.5,95.5,NA,0.01
"415...415","1","1","0",14.5,95.5,NA,0.01
"416...416","1","1","0",15.5,95.5,NA,0.01
"417...417","1","1","0",16.5,95.5,NA,0.01
"418...418","1","1","0",17.5,95.5,NA,0.01
"419...419","1","1","0",18.5,95.5,NA,0.01
"420...420","1","1","0",19.5,95.5,NA,0.01
"421...421","1","1","0",20.5,95.5,NA,0.01
"422...422","1","1","0",21.5,95.5,NA,0.01
"423...423","1","1","0",22.5,95.5,NA,0.01
"424...424","1","1","0",23.5,95.5,NA,0.01
"425...425","1","1","0",24.5,95.5,NA,0.01
"426...426","1","1","0",25.5,95.5,NA,0.01
"427...427","1","1","0",26.5,95.5,NA,0.01
"428...428","1","1","0",27.5,95.5,NA,0.01
"429...429","1","1","0",28.5,95.5,NA,0.01
"430...430","1","1","0",29.5,95.5,NA,0.01
"431...431","1","1","0",30.5,95.5,NA,0.01
"432...432","1","1","0",31.5,95.5,NA,0.01
"433...433","1","1","1",32.5,95.5,34,0.01
"434...434","1","1","0",33.5,95.5,NA,0.01
"435...435","1","1","0",34.5,95.5,NA,0.01
"436...436","1","1","0",35.5,95.5,NA,0.01
"437...437","1","1","1",36.5,95.5,35,0.01
"438...438","1","1","0",37.5,95.5,NA,0.01
"439...439","1","1","0",38.5,95.5,NA,0.01
"440...440","1","1","1",39.5,95.5,19,0.01
"441...441","1","1","0",40.5,95.5,NA,0.01
"442...442","1","1","0",41.5,95.5,NA,0.01
"443...443","1","1","0",42.5,95.5,NA,0.01
"444...444","1","1","0",43.5,95.5,NA,0.01
"445...445","1","1","0",44.5,95.5,NA,0.01
"446...446","1","1","0",45.5,95.5,NA,0.01
"447...447","1","1","0",46.5,95.5,NA,0.01
"448...448","1","1","0",47.5,95.5,NA,0.01
"449...449","1","1","0",48.5,95.5,NA,0.01
"450...450","1","1","0",49.5,95.5,NA,0.01
"451...451","1","1","0",50.5,95.5,NA,0.01
"452...452","1","1","0",51.5,95.5,NA,0.01
"453...453","1","1","0",52.5,95.5,NA,0.01
"454...454","1","1","1",53.5,95.5,36,0.01
"455...455","1","1","1",54.5,95.5,36,0.01
"456...456","1","1","0",55.5,95.5,NA,0.01
"457...457","1","1","0",56.5,95.5,NA,0.01
"458...458","1","1","0",57.5,95.5,NA,0.01
"459...459","1","1","1",58.5,95.5,37,0.01
"460...460","1","1","0",59.5,95.5,NA,0.01
"461...461","1","1","0",60.5,95.5,NA,0.01
"462...462","1","1","0",61.5,95.5,NA,0.01
"463...463","1","1","0",62.5,95.5,NA,0.01
"464...464","1","1","0",63.5,95.5,NA,0.01
"465...465","1","1","0",64.5,95.5,NA,0.01
"466...466","1","1","0",65.5,95.5,NA,0.01
"467...467","1","1","0",66.5,95.5,NA,0.01
"468...468","1","1","1",67.5,95.5,38,0.01
"469...469","1","1","0",68.5,95.5,NA,0.01
"470...470","1","1","0",69.5,95.5,NA,0.01
"471...471","1","1","0",70.5,95.5,NA,0.01
"472...472","1","1","0",71.5,95.5,NA,0.01
"473...473","1","1","0",72.5,95.5,NA,0.01
"474...474","1","1","0",73.5,95.5,NA,0.01
"475...475","1","1","0",74.5,95.5,NA,0.01
"476...476","1","1","0",75.5,95.5,NA,0.01
"477...477","1","1","0",76.5,95.5,NA,0.01
"478...478","1","1","0",77.5,95.5,NA,0.01
"479...479","1","1","0",78.5,95.5,NA,0.01
"480...480","1","1","0",79.5,95.5,NA,0.01
"481...481","1","1","0",80.5,95.5,NA,0.01
"482...482","1","1","0",81.5,95.5,NA,0.01
"483...483","1","1","0",82.5,95.5,NA,0.01
"484...484","1","1","0",83.5,95.5,NA,0.01
"485...485","1","1","0",84.5,95.5,NA,0.01
"486...486","1","1","0",85.5,95.5,NA,0.01
"487...487","1","1","0",86.5,95.5,NA,0.01
"488...488","1","1","0",87.5,95.5,NA,0.01
"489...489","1","1","0",88.5,95.5,NA,0.01
"490...490","1","1","1",89.5,95.5,39,0.01
"491...491","1","1","1",90.5,95.5,39,0.01
"492...492","1","1","1",91.5,95.5,39,0.01
"493...493","1","1","0",92.5,95.5,NA,0.01
"494...494","1","1","1",93.5,95.5,32,0.01
"495...495","1","1","0",94.5,95.5,NA,0.01
"496...496","1","1","0",95.5,95.5,NA,0.01
"497...497","1","1","0",96.5,95.5,NA,0.01
"498...498","1","1","0",97.5,95.5,NA,0.01
"499...499","1","1","0",98.5,95.5,NA,0.01
"500...500","1","1","0",99.5,95.5,NA,0.01
"501...501","1","1","0",0.5,94.5,NA,0.01
"502...502","1","1","1",1.5,94.5,40,0.01
"503...503","1","1","1",2.5,94.5,40,0.01
"504...504","1","1","0",3.5,94.5,NA,0.01
"505...505","1","1","0",4.5,94.5,NA,0.01
"506...506","1","1","0",5.5,94.5,NA,0.01
"507...507","1","1","0",6.5,94.5,NA,0.01
"508...508","1","1","0",7.5,94.5,NA,0.01
"509...509","1","1","0",8.5,94.5,NA,0.01
"510...510","1","1","0",9.5,94.5,NA,0.01
"511...511","1","1","0",10.5,94.5,NA,0.01
"512...512","1","1","0",11.5,94.5,NA,0.01
"513...513","1","1","0",12.5,94.5,NA,0.01
"514...514","1","1","0",13.5,94.5,NA,0.01
"515...515","1","1","0",14.5,94.5,NA,0.01
"516...516","1","1","0",15.5,94.5,NA,0.01
"517...517","1","1","1",16.5,94.5,41,0.01
"518...518","1","1","0",17.5,94.5,NA,0.01
"519...519","1","1","0",18.5,94.5,NA,0.01
"520...520","1","1","0",19.5,94.5,NA,0.01
"521...521","1","1","0",20.5,94.5,NA,0.01
"522...522","1","1","0",21.5,94.5,NA,0.01
"523...523","1","1","0",22.5,94.5,NA,0.01
"524...524","1","1","0",23.5,94.5,NA,0.01
"525...525","1","1","0",24.5,94.5,NA,0.01
"526...526","1","1","0",25.5,94.5,NA,0.01
"527...527","1","1","0",26.5,94.5,NA,0.01
"528...528","1","1","0",27.5,94.5,NA,0.01
"529...529","1","1","0",28.5,94.5,NA,0.01
"530...530","1","1","0",29.5,94.5,NA,0.01
"531...531","1","1","0",30.5,94.5,NA,0.01
"532...532","1","1","0",31.5,94.5,NA,0.01
"533...533","1","1","0",32.5,94.5,NA,0.01
"534...534","1","1","0",33.5,94.5,NA,0.01
"535...535","1","1","0",34.5,94.5,NA,0.01
"536...536","1","1","0",35.5,94.5,NA,0.01
"537...537","1","1","0",36.5,94.5,NA,0.01
"538...538","1","1","0",37.5,94.5,NA,0.01
"539...539","1","1","0",38.5,94.5,NA,0.01
"540...540","1","1","0",39.5,94.5,NA,0.01
